32 87
0 1 112
0 3 218
1 2 140
2 101 168
2 3 250
3 102 58
4 102 77
5 6 115
6 7 63
6 103 42
7 103 134
7 104 71
8 104 58
9 104 66
9 105 30
10 104 41
10 105 151
10 106 85
11 105 30
11 20 52
12 106 95
12 29 0
12 107 53
14 107 64
15 107 101
16 107 114
16 23 82
17 108 70
17 23 111
18 19 25
19 37 0
19 108 41
19 21 110
19 22 76
20 21 75
20 115 288
21 108 71
22 23 38
22 24 0
22 25 0
22 26 0
22 27 0
22 28 0
22 108 62
23 13 76
13 30 0
13 31 0
13 32 0
13 33 0
13 34 0
13 35 0
13 36 0
13 37 56
37 38 0
37 39 0
37 41 50
40 115 58
42 115 52
42 43 20
43 44 31
42 46 40
42 113 118
44 115 17
45 46 24
45 49 45
47 48 11
47 49 22
47 109 60
49 50 11
50 109 43
50 51 48
51 52 55
51 54 50
51 109 38
52 53 7
52 109 78
53 55 20
101 110 348
102 110 422
102 111 402	
103 106 146
109 115 111	
110 112 126
110 111 172	
111 113 107	
112 114 70
112 115 126	
113 114 45
